yname     	ytheme 	ypaper   	ylove  	yacquitime	采集时间               
唐艺昕       	5931   	213072   	234896 	2016-11-22	2016-11-22 20:08:55
刘晓庆       	10805  	417008   	132052 	2016-11-22	2016-11-22 20:08:59
赵韩樱子      	2610   	127171   	20710  	2016-11-22	2016-11-22 20:09:04
朱茵        	19217  	424427   	53703  	2016-11-22	2016-11-22 20:09:08
车晓        	7555   	155361   	8972   	2016-11-22	2016-11-22 20:09:12
张籽沐       	11740  	907343   	245060 	2016-11-22	2016-11-22 20:09:16
海清        	       	412643   	132586 	2016-11-22	2016-11-22 20:09:20
李金铭       	20210  	964889   	279698 	2016-11-22	2016-11-22 20:09:25
黎姿        	72574  	19969461 	170127 	2016-11-22	2016-11-22 20:09:29
关晓彤       	6599   	283819   	167697 	2016-11-22	2016-11-22 20:09:33
吕佳容       	2851   	2125477  	247525 	2016-11-22	2016-11-22 20:09:37
万茜        	15629  	2234032  	240314 	2016-11-22	2016-11-22 20:09:42
江一燕       	25565  	870528   	148697 	2016-11-22	2016-11-22 20:09:46
纪姿含       	8013   	632958   	135170 	2016-11-22	2016-11-22 20:09:50
刘萌萌       	12536  	468635   	245403 	2016-11-22	2016-11-22 20:09:54
周迅        	41938  	1164264  	259852 	2016-11-22	2016-11-22 20:09:58
蒋梦婕       	       	191823   	26827  	2016-11-22	2016-11-22 20:10:02
江珊        	7240   	344967   	128897 	2016-11-22	2016-11-22 20:10:07
郭采洁       	38333  	1458168  	322292 	2016-11-22	2016-11-22 20:10:11
安宁        	29414  	549810   	48149  	2016-11-22	2016-11-22 20:10:15
秦岚        	27849  	383091   	137273 	2016-11-22	2016-11-22 20:10:19
杨千嬅       	68705  	1992945  	180809 	2016-11-22	2016-11-22 20:10:24
胡定欣       	26679  	699824   	231505 	2016-11-22	2016-11-22 20:10:28
孙骁骁       	18367  	496359   	129271 	2016-11-22	2016-11-22 20:10:32
陈好        	20389  	503293   	19481  	2016-11-22	2016-11-22 20:10:36
郭晓婷       	4857   	82753    	15553  	2016-11-22	2016-11-22 20:10:41
董璇        	14652  	358929   	136539 	2016-11-22	2016-11-22 20:10:45
汪明荃       	9845   	261486   	16790  	2016-11-22	2016-11-22 20:10:49
王艳        	28043  	1028943  	134210 	2016-11-22	2016-11-22 20:10:53
张子萱       	3825   	70178    	13151  	2016-11-22	2016-11-22 20:10:57
郭静        	68270  	2067821  	248344 	2016-11-22	2016-11-22 20:11:02
张嘉倪       	53548  	1271788  	474582 	2016-11-22	2016-11-22 20:11:06
俞飞鸿       	12526  	981428   	236623 	2016-11-22	2016-11-22 20:11:10
杨明娜       	1706   	126417   	14895  	2016-11-22	2016-11-22 20:11:14
杨怡        	56653  	2614770  	268882 	2016-11-22	2016-11-22 20:11:18
王洋        	9012   	765546   	138253 	2016-11-22	2016-11-22 20:11:23
陈瑶        	3484   	283441   	56847  	2016-11-22	2016-11-22 20:11:27
黄圣依       	37052  	701132   	144966 	2016-11-22	2016-11-22 20:11:31
焦俊艳       	3332   	82275    	7847   	2016-11-22	2016-11-22 20:11:35
侯梦莎       	6061   	390314   	132213 	2016-11-22	2016-11-22 20:11:39
弦子        	53266  	995809   	152767 	2016-11-22	2016-11-22 20:11:44
赵圆瑗       	2268   	123207   	13183  	2016-11-22	2016-11-22 20:11:48
胡杏儿       	36737  	1436804  	258681 	2016-11-22	2016-11-22 20:11:52
馨子        	4733   	284211   	17744  	2016-11-22	2016-11-22 20:11:56
蒋勤勤       	36491  	748522   	132494 	2016-11-22	2016-11-22 20:12:00
徐子珊       	13333  	738621   	236141 	2016-11-22	2016-11-22 20:12:05
郝蕾        	7934   	116783   	5931   	2016-11-22	2016-11-22 20:12:09
陈法拉       	19133  	837370   	241154 	2016-11-22	2016-11-22 20:12:13
张俪        	3140   	56966    	9892   	2016-11-22	2016-11-22 20:12:17
杨恭如       	14850  	313176   	18736  	2016-11-22	2016-11-22 20:12:22
万绮雯       	15485  	634598   	239679 	2016-11-22	2016-11-22 20:12:26
童苡萱       	3130   	236858   	2054   	2016-11-22	2016-11-22 20:12:30
徐申东       	5411   	300590   	4420   	2016-11-22	2016-11-22 20:12:34
赵霁        	23143  	887154   	145951 	2016-11-22	2016-11-22 20:12:38
任程伟       	11875  	926329   	7993   	2016-11-22	2016-11-22 20:12:43
戴娇倩       	11526  	216138   	17563  	2016-11-22	2016-11-22 20:12:47
李依晓       	3165   	77649    	3137   	2016-11-22	2016-11-22 20:12:51
周丽淇       	18072  	632637   	21800  	2016-11-22	2016-11-22 20:12:55
应采儿       	9618   	101841   	8180   	2016-11-22	2016-11-22 20:12:59
曹颖        	22576  	375371   	23092  	2016-11-22	2016-11-22 20:13:03
叶青        	16492  	1335236  	15984  	2016-11-22	2016-11-22 20:13:08
周放        	1223   	33374    	12688  	2016-11-22	2016-11-22 20:13:12
蔡卓妍       	308471 	22816190 	419604 	2016-11-22	2016-11-22 20:13:16
徐百卉       	893    	21798    	6165   	2016-11-22	2016-11-22 20:13:21
斯琴高娃      	3009   	44800    	773    	2016-11-22	2016-11-22 20:13:25
斓曦        	4991   	162533   	19256  	2016-11-22	2016-11-22 20:13:29
蔡芷纭       	25622  	1015452  	242594 	2016-11-22	2016-11-22 20:13:33
蔡文静       	435    	18544    	3435   	2016-11-22	2016-11-22 20:13:37
邵雨薇       	670    	16515    	2221   	2016-11-22	2016-11-22 20:13:42
张杨果而      	9895   	376018   	19544  	2016-11-22	2016-11-22 20:13:46
江美仪       	2729   	172573   	8401   	2016-11-22	2016-11-22 20:13:50
叶童        	20601  	3005525  	51020  	2016-11-22	2016-11-22 20:13:54
颜丹晨       	7299   	86224    	4727   	2016-11-22	2016-11-22 20:13:58
张子枫       	19545  	898404   	237514 	2016-11-22	2016-11-22 20:14:03
卓文萱       	76117  	1690894  	153997 	2016-11-22	2016-11-22 20:14:07
贾晓晨       	629    	9688     	1627   	2016-11-22	2016-11-22 20:14:11
胡静        	8435   	37560    	4383   	2016-11-22	2016-11-22 20:14:15
李玲玉       	13228  	180150   	6534   	2016-11-22	2016-11-22 20:14:20
吴倩        	       	26579    	12832  	2016-11-22	2016-11-22 20:14:24
陈美琪       	10966  	185329   	8745   	2016-11-22	2016-11-22 20:14:28
李菲儿       	5841   	183508   	251031 	2016-11-22	2016-11-22 20:14:32
江祖平       	3274   	57163    	16941  	2016-11-22	2016-11-22 20:14:36
张柏芝       	101908 	2115705  	296180 	2016-11-22	2016-11-22 20:14:40
汤唯        	31865  	1065223  	370461 	2016-11-22	2016-11-22 20:14:45
任晗        	2205   	94244    	1529   	2016-11-22	2016-11-22 20:14:49
林志玲       	36208  	1106283  	348442 	2016-11-22	2016-11-22 20:14:53
秦海璐       	5147   	33640    	2040   	2016-11-22	2016-11-22 20:14:57
昆凌        	46233  	150444   	18566  	2016-11-22	2016-11-22 20:15:02
薛凯琪       	42499  	900134   	249582 	2016-11-22	2016-11-22 20:15:06
舒淇        	19198  	440316   	150770 	2016-11-22	2016-11-22 20:15:10
鲍蕾        	1167   	39917    	1851   	2016-11-22	2016-11-22 20:15:15
梅艳芳       	56210  	3998120  	479914 	2016-11-22	2016-11-22 20:15:19
景甜        	71504  	3004419  	285441 	2016-11-22	2016-11-22 20:15:23
王茜        	23740  	594608   	26104  	2016-11-22	2016-11-22 20:15:27
文雨非       	3440   	221365   	18212  	2016-11-22	2016-11-22 20:15:31
薛佳凝       	6170   	215599   	8681   	2016-11-22	2016-11-22 20:15:35
安雅萍       	2125   	146809   	2617   	2016-11-22	2016-11-22 20:15:40
邓萃雯       	40129  	1734590  	137060 	2016-11-22	2016-11-22 20:15:44
周奇奇       	1187   	23581    	3937   	2016-11-22	2016-11-22 20:15:48
邓莎        	5864   	129667   	16555  	2016-11-22	2016-11-22 20:15:52
李曼        	13689  	505669   	31328  	2016-11-22	2016-11-22 20:15:56
张辛苑       	5793   	436796   	76055  	2016-11-22	2016-11-22 20:16:01
郭柯彤       	270    	1807     	204    	2016-11-22	2016-11-22 20:16:05
张娜        	       	266511   	2962   	2016-11-22	2016-11-22 20:16:09
翁虹        	3913   	61216    	4865   	2016-11-22	2016-11-22 20:16:13
淳于珊珊      	1857   	36151    	765    	2016-11-22	2016-11-22 20:16:18
陈彦妃       	4241   	164702   	19806  	2016-11-22	2016-11-22 20:16:22
李诗韵       	15063  	510574   	22819  	2016-11-22	2016-11-22 20:16:26
米雪        	26746  	590346   	21709  	2016-11-22	2016-11-22 20:16:30
孙耀威       	28388  	424696   	21958  	2016-11-22	2016-11-22 20:16:34
江铠同       	15564  	433785   	22493  	2016-11-22	2016-11-22 20:16:39
苑琼丹       	3468   	34189    	2135   	2016-11-22	2016-11-22 20:16:43
胡可        	835    	8414     	2434   	2016-11-22	2016-11-22 20:16:47
梅婷        	3107   	50707    	12747  	2016-11-22	2016-11-22 20:16:52
刘楚恬       	2407   	114177   	32272  	2016-11-22	2016-11-22 20:16:56
陈茵媺       	3394   	63157    	7727   	2016-11-22	2016-11-22 20:17:00
马丽        	2914   	42858    	15055  	2016-11-22	2016-11-22 20:17:04
袁泉        	3831   	36534    	14964  	2016-11-22	2016-11-22 20:17:08
殷桃        	15141  	352811   	20802  	2016-11-22	2016-11-22 20:17:12
李念        	7605   	112152   	6414   	2016-11-22	2016-11-22 20:17:17
刘雪华       	8481   	221173   	16060  	2016-11-22	2016-11-22 20:17:21
菅韧姿       	441    	7498     	3921   	2016-11-22	2016-11-22 20:17:25
陈怡蓉       	8030   	143396   	5373   	2016-11-22	2016-11-22 20:17:29
徐熙媛       	27426  	391858   	142501 	2016-11-22	2016-11-22 20:17:33
陈蓉        	4687   	52896    	1294   	2016-11-22	2016-11-22 20:17:37
刘威葳       	2303   	30161    	11866  	2016-11-22	2016-11-22 20:17:42
蔡依林       	1766815	103053247	895190 	2016-11-22	2016-11-22 20:17:46
贡米        	9459   	237381   	15917  	2016-11-22	2016-11-22 20:17:50
刘雨欣       	3229   	70931    	18518  	2016-11-22	2016-11-22 20:17:54
黄智雯       	2057   	142054   	14639  	2016-11-22	2016-11-22 20:17:58
雨婷儿       	457    	18396    	6491   	2016-11-22	2016-11-22 20:18:03
闫学晶       	3791   	99531    	12156  	2016-11-22	2016-11-22 20:18:07
伊一        	14748  	216080   	23144  	2016-11-22	2016-11-22 20:18:11
陶昕然       	2129   	55354    	16637  	2016-11-22	2016-11-22 20:18:15
邓婕        	13600  	312679   	17724  	2016-11-22	2016-11-22 20:18:19
陈嘉桦       	468763 	29884829 	331479 	2016-11-22	2016-11-22 20:18:24
陶慧敏       	2712   	126742   	13045  	2016-11-22	2016-11-22 20:18:28
曾之乔       	25409  	679485   	32533  	2016-11-22	2016-11-22 20:18:32
陈德容       	6964   	103001   	15379  	2016-11-22	2016-11-22 20:18:36
毛俊杰       	5882   	145853   	4869   	2016-11-22	2016-11-22 20:18:40
曾轶可       	452994 	14716169 	364039 	2016-11-22	2016-11-22 20:18:45
莫小棋       	3002   	135887   	15138  	2016-11-22	2016-11-22 20:18:49
颜丙燕       	2426   	55428    	1473   	2016-11-22	2016-11-22 20:18:53
何赛飞       	2856   	70686    	12406  	2016-11-22	2016-11-22 20:18:57
何洁        	495009 	9567802  	292911 	2016-11-22	2016-11-22 20:19:02
周楚楚       	584    	13608    	1080   	2016-11-22	2016-11-22 20:19:06
李湘        	37073  	1868192  	160144 	2016-11-22	2016-11-22 20:19:10
于莎莎       	885    	11333    	3080   	2016-11-22	2016-11-22 20:19:14
孙雪宁       	93     	5273     	1533   	2016-11-22	2016-11-22 20:19:18
那英        	75341  	3343144  	410382 	2016-11-22	2016-11-22 20:19:23
黄小蕾       	2763   	23596    	11825  	2016-11-22	2016-11-22 20:19:27
黄奕        	26715  	427089   	219537 	2016-11-22	2016-11-22 20:19:31
傅艺伟       	4521   	56675    	12777  	2016-11-22	2016-11-22 20:19:35
张佳宁       	3417   	85706    	17237  	2016-11-22	2016-11-22 20:19:39
林妙可       	50680  	3558028  	242860 	2016-11-22	2016-11-22 20:19:43
伊能静       	7445   	75297    	9214   	2016-11-22	2016-11-22 20:19:48
刘美含       	44884  	1664528  	34558  	2016-11-22	2016-11-22 20:19:52
王琳        	1332   	11186    	1563   	2016-11-22	2016-11-22 20:19:56
毕畅        	1140   	13357    	1783   	2016-11-22	2016-11-22 20:20:00
钟丽缇       	2264   	141062   	13707  	2016-11-22	2016-11-22 20:20:04
王李丹妮      	       	         	       	2016-11-22	2016-11-22 20:20:08
刘玉翠       	10351  	113493   	21360  	2016-11-22	2016-11-22 20:20:13
郭羡妮       	11604  	167235   	4901   	2016-11-22	2016-11-22 20:20:17
刘忻        	321563 	18025159 	752193 	2016-11-22	2016-11-22 20:20:21
朱佳煜       	1360   	57493    	3405   	2016-11-22	2016-11-22 20:20:25
王菲        	268404 	7509247  	605395 	2016-11-22	2016-11-22 20:20:29
萨日娜       	2962   	44754    	557    	2016-11-22	2016-11-22 20:20:34
张茜        	1988   	33969    	1900   	2016-11-22	2016-11-22 20:20:38
郭雪芙       	6609   	104838   	12450  	2016-11-22	2016-11-22 20:20:42
柴蔚        	2692   	71149    	47455  	2016-11-22	2016-11-22 20:20:46
曹曦文       	3893   	42190    	2475   	2016-11-22	2016-11-22 20:20:51
文颂娴       	13683  	290264   	4382   	2016-11-22	2016-11-22 20:20:55
宣璐        	808    	23099    	1212   	2016-11-22	2016-11-22 20:20:59
陈法蓉       	4049   	75376    	5379   	2016-11-22	2016-11-22 20:21:03
潘虹        	2862   	51589    	1150   	2016-11-22	2016-11-22 20:21:07
孟瑶        	2042   	30319    	2152   	2016-11-22	2016-11-22 20:21:11
高以翔       	13249  	203099   	41508  	2016-11-22	2016-11-22 20:21:16
何美钿       	6255   	113571   	2370   	2016-11-22	2016-11-22 20:21:20
宋丹丹       	4007   	37800    	3004   	2016-11-22	2016-11-22 20:21:24
朱珠        	786    	9406     	2556   	2016-11-22	2016-11-22 20:21:28
蒙嘉慧       	19021  	415838   	7804   	2016-11-22	2016-11-22 20:21:32
童蕾        	3619   	48835    	1768   	2016-11-22	2016-11-22 20:21:36
曲栅栅       	1746   	45450    	1697   	2016-11-22	2016-11-22 20:21:41
袁莉        	8653   	100407   	16529  	2016-11-22	2016-11-22 20:21:45
柯蓝        	842    	4169     	894    	2016-11-22	2016-11-22 20:21:49
吴越        	2104   	54771    	1229   	2016-11-22	2016-11-22 20:21:53
刘心悠       	3385   	111969   	24728  	2016-11-22	2016-11-22 20:21:57
洪欣        	664    	4527     	2919   	2016-11-22	2016-11-22 20:22:02
苗雅宁       	7371   	302558   	20115  	2016-11-22	2016-11-22 20:22:06
王海燕       	491    	11798    	634    	2016-11-22	2016-11-22 20:22:10
文咏珊       	2530   	43845    	8538   	2016-11-22	2016-11-22 20:22:14
何泓姗       	1251   	39872    	4947   	2016-11-22	2016-11-22 20:22:18
张琰琰       	1812   	38393    	1393   	2016-11-22	2016-11-22 20:22:23
李彩桦       	13877  	222358   	16701  	2016-11-22	2016-11-22 20:22:27
蒋雯丽       	5333   	147239   	14044  	2016-11-22	2016-11-22 20:22:31
陈秀丽       	1260   	32299    	1955   	2016-11-22	2016-11-22 20:22:35
赵文琪       	2050   	43961    	16392  	2016-11-22	2016-11-22 20:22:39
崔心心       	237    	2877     	798    	2016-11-22	2016-11-22 20:22:43
温峥嵘       	1300   	31484    	3763   	2016-11-22	2016-11-22 20:22:48
陶虹        	6056   	37314    	12421  	2016-11-22	2016-11-22 20:22:52
邵美琪       	4161   	91351    	13950  	2016-11-22	2016-11-22 20:22:56
陈亚兰       	4457   	291624   	16935  	2016-11-22	2016-11-22 20:23:00
刘雅瑟       	779    	29869    	1103   	2016-11-22	2016-11-22 20:23:05
林韦君       	10594  	142697   	2905   	2016-11-22	2016-11-22 20:23:09
桂纶镁       	12570  	347125   	255800 	2016-11-22	2016-11-22 20:23:13
陈小艺       	11957  	366129   	13974  	2016-11-22	2016-11-22 20:23:17
孙佳奇       	388    	5397     	1136   	2016-11-22	2016-11-22 20:23:21
万玮乔       	66     	2329     	232    	2016-11-22	2016-11-22 20:23:25
柴碧云       	1472   	28478    	2912   	2016-11-22	2016-11-22 20:23:30
涂黎曼       	1844   	34694    	11667  	2016-11-22	2016-11-22 20:23:34
陆子艺       	4200   	104621   	16217  	2016-11-22	2016-11-22 20:23:38
张静初       	16167  	251513   	11568  	2016-11-22	2016-11-22 20:23:42
王莎莎       	2101   	27775    	11803  	2016-11-22	2016-11-22 20:23:47
任容萱       	3279   	36510    	17814  	2016-11-22	2016-11-22 20:23:51
赖雅妍       	4754   	206400   	19856  	2016-11-22	2016-11-22 20:23:55
刘淼淼       	10895  	202062   	3094   	2016-11-22	2016-11-22 20:23:59
董维嘉       	433    	2491     	871    	2016-11-22	2016-11-22 20:24:03
李小萌       	3638   	25234    	3680   	2016-11-22	2016-11-22 20:24:08
彭丹        	       	         	       	2016-11-22	2016-11-22 20:24:12
于明加       	3293   	63485    	5937   	2016-11-22	2016-11-22 20:24:16
高洋        	2138   	47032    	13141  	2016-11-22	2016-11-22 20:24:20
李依伊       	78     	4652     	505    	2016-11-22	2016-11-22 20:24:24
倪妮        	11336  	444226   	251839 	2016-11-22	2016-11-22 20:24:28
金巧巧       	3974   	48875    	2434   	2016-11-22	2016-11-22 20:24:33
沈傲君       	4374   	392322   	1935   	2016-11-22	2016-11-22 20:24:37
刘之冰       	1228   	16759    	436    	2016-11-22	2016-11-22 20:24:41
潘时七       	2341   	236319   	6070   	2016-11-22	2016-11-22 20:24:45
杨丽菁       	2430   	43314    	4148   	2016-11-22	2016-11-22 20:24:49
恬妞        	2750   	66939    	1310   	2016-11-22	2016-11-22 20:24:54
钱芳        	738    	12346    	1273   	2016-11-22	2016-11-22 20:24:58
童菲        	3338   	78811    	18115  	2016-11-22	2016-11-22 20:25:02
邬君梅       	790    	23782    	1035   	2016-11-22	2016-11-22 20:25:07
柏雪        	11882  	64863    	5349   	2016-11-22	2016-11-22 20:25:11
王宇婕       	2411   	177465   	4537   	2016-11-22	2016-11-22 20:25:15
黄龄        	7929   	121831   	6966   	2016-11-22	2016-11-22 20:25:19
胡桑        	447    	14957    	213    	2016-11-22	2016-11-22 20:25:23
唐诗咏       	7930   	391690   	21367  	2016-11-22	2016-11-22 20:25:27
李亚鹏       	       	106886   	2640   	2016-11-22	2016-11-22 20:25:32
白歆惠       	2390   	30484    	4108   	2016-11-22	2016-11-22 20:25:36
茹萍        	919    	13597    	720    	2016-11-22	2016-11-22 20:25:40
付静        	27839  	532714   	24348  	2016-11-22	2016-11-22 20:25:44
韩烨        	130    	743      	249    	2016-11-22	2016-11-22 20:25:49
张定涵       	3075   	98970    	13920  	2016-11-22	2016-11-22 20:25:53
田丽        	1347   	48173    	1870   	2016-11-22	2016-11-22 20:25:57
岳丽娜       	328    	4590     	348    	2016-11-22	2016-11-22 20:26:01
田蕊妮       	1306   	29083    	1046   	2016-11-22	2016-11-22 20:26:05
王倩一       	216    	14680    	833    	2016-11-22	2016-11-22 20:26:09
陈慧珊       	17834  	501303   	8248   	2016-11-22	2016-11-22 20:26:14
韩雯雯       	6096   	91445    	1199   	2016-11-22	2016-11-22 20:26:18
