"关键词","地区","日期","媒体指数"
"咸鱼传奇","全国","2016-12-09","3"
"咸鱼传奇","全国","2016-12-08","5"
"咸鱼传奇","全国","2016-12-07","0"
"咸鱼传奇","全国","2016-12-06","3"
"咸鱼传奇","全国","2016-12-05","3"
"咸鱼传奇","全国","2016-12-04","0"
"咸鱼传奇","全国","2016-12-03","0"
"咸鱼传奇","全国","2016-12-02","1"
"咸鱼传奇","全国","2016-12-01","1"
"咸鱼传奇","全国","2016-11-30","2"
"咸鱼传奇","全国","2016-11-29","1"
"咸鱼传奇","全国","2016-11-28","2"
"咸鱼传奇","全国","2016-11-27","0"
"咸鱼传奇","全国","2016-11-26","0"
"咸鱼传奇","全国","2016-11-25","0"
"咸鱼传奇","全国","2016-11-24","3"
"咸鱼传奇","全国","2016-11-23","3"
"咸鱼传奇","全国","2016-11-22","2"
"咸鱼传奇","全国","2016-11-21","11"
"咸鱼传奇","全国","2016-11-20","0"
"咸鱼传奇","全国","2016-11-19","0"
"少年","全国","2016-12-18","209"
"少年","全国","2016-12-17","178"
"少年","全国","2016-12-16","513"
"少年","全国","2016-12-15","212"
"少年","全国","2016-12-14","444"
"少年","全国","2016-12-13","495"
"少年","全国","2016-12-12","556"
"少年","全国","2016-12-11","186"
"少年","全国","2016-12-10","139"
"少年","全国","2016-12-09","464"
"少年","全国","2016-12-08","426"
"少年","全国","2016-12-07","394"
"少年","全国","2016-12-06","601"
"少年","全国","2016-12-05","690"
"少年","全国","2016-12-04","159"
"少年","全国","2016-12-03","231"
"少年","全国","2016-12-02","340"
"少年","全国","2016-12-01","280"
"少年","全国","2016-11-30","392"
"少年","全国","2016-11-29","340"
"少年","全国","2016-11-28","356"
"少年","全国","2016-11-27","175"
"少年","全国","2016-11-26","128"
"少年","全国","2016-11-25","424"
"少年","全国","2016-11-24","584"
"少年","全国","2016-11-23","337"
"少年","全国","2016-11-22","408"
"少年","全国","2016-11-21","361"
"少年","全国","2016-11-20","177"
"少年","全国","2016-11-19","238"
"罗曼蒂克消亡史","全国","2016-12-18","16"
"罗曼蒂克消亡史","全国","2016-12-17","42"
"罗曼蒂克消亡史","全国","2016-12-16","150"
"罗曼蒂克消亡史","全国","2016-12-15","67"
"罗曼蒂克消亡史","全国","2016-12-14","198"
"罗曼蒂克消亡史","全国","2016-12-13","16"
"罗曼蒂克消亡史","全国","2016-12-12","52"
"罗曼蒂克消亡史","全国","2016-12-11","6"
"罗曼蒂克消亡史","全国","2016-12-10","7"
"罗曼蒂克消亡史","全国","2016-12-09","14"
"罗曼蒂克消亡史","全国","2016-12-08","12"
"罗曼蒂克消亡史","全国","2016-12-07","8"
"罗曼蒂克消亡史","全国","2016-12-06","15"
"罗曼蒂克消亡史","全国","2016-12-05","9"
"罗曼蒂克消亡史","全国","2016-12-04","3"
"罗曼蒂克消亡史","全国","2016-12-03","8"
"罗曼蒂克消亡史","全国","2016-12-02","19"
"罗曼蒂克消亡史","全国","2016-12-01","4"
"罗曼蒂克消亡史","全国","2016-11-30","0"
"罗曼蒂克消亡史","全国","2016-11-29","0"
"罗曼蒂克消亡史","全国","2016-11-28","1"
"罗曼蒂克消亡史","全国","2016-11-27","5"
"罗曼蒂克消亡史","全国","2016-11-26","0"
"罗曼蒂克消亡史","全国","2016-11-25","9"
"罗曼蒂克消亡史","全国","2016-11-24","1"
"罗曼蒂克消亡史","全国","2016-11-23","8"
"罗曼蒂克消亡史","全国","2016-11-22","2"
"罗曼蒂克消亡史","全国","2016-11-21","3"
"罗曼蒂克消亡史","全国","2016-11-20","2"
"罗曼蒂克消亡史","全国","2016-11-19","5"
"长城","全国","2016-12-18","980"
"长城","全国","2016-12-17","582"
"长城","全国","2016-12-16","1060"
"长城","全国","2016-12-15","352"
"长城","全国","2016-12-14","518"
"长城","全国","2016-12-13","682"
"长城","全国","2016-12-12","739"
"长城","全国","2016-12-11","789"
"长城","全国","2016-12-10","231"
"长城","全国","2016-12-09","365"
"长城","全国","2016-12-08","352"
"长城","全国","2016-12-07","824"
"长城","全国","2016-12-06","1190"
"长城","全国","2016-12-05","1228"
"长城","全国","2016-12-04","928"
"长城","全国","2016-12-03","163"
"长城","全国","2016-12-02","584"
"长城","全国","2016-12-01","313"
"长城","全国","2016-11-30","464"
"长城","全国","2016-11-29","164"
"长城","全国","2016-11-28","223"
"长城","全国","2016-11-27","829"
"长城","全国","2016-11-26","115"
"长城","全国","2016-11-25","271"
"长城","全国","2016-11-24","325"
"长城","全国","2016-11-23","263"
"长城","全国","2016-11-22","394"
"长城","全国","2016-11-21","219"
"长城","全国","2016-11-20","86"
"长城","全国","2016-11-19","121"
"凄灵室","全国","2016-12-18","0"
"凄灵室","全国","2016-12-17","0"
"凄灵室","全国","2016-12-16","0"
"凄灵室","全国","2016-12-15","0"
"凄灵室","全国","2016-12-14","0"
"凄灵室","全国","2016-12-13","2"
"凄灵室","全国","2016-12-12","1"
"凄灵室","全国","2016-12-11","3"
"凄灵室","全国","2016-12-10","3"
"凄灵室","全国","2016-12-09","12"
"凄灵室","全国","2016-12-08","2"
"凄灵室","全国","2016-12-07","10"
"凄灵室","全国","2016-12-06","0"
"凄灵室","全国","2016-12-05","0"
"凄灵室","全国","2016-12-04","0"
"凄灵室","全国","2016-12-03","0"
"凄灵室","全国","2016-12-02","0"
"凄灵室","全国","2016-12-01","0"
"凄灵室","全国","2016-11-30","0"
"凄灵室","全国","2016-11-29","0"
"凄灵室","全国","2016-11-28","0"
"凄灵室","全国","2016-11-27","0"
"凄灵室","全国","2016-11-26","0"
"凄灵室","全国","2016-11-25","0"
"凄灵室","全国","2016-11-24","0"
"凄灵室","全国","2016-11-23","0"
"凄灵室","全国","2016-11-22","0"
"凄灵室","全国","2016-11-21","0"
"凄灵室","全国","2016-11-20","0"
"凄灵室","全国","2016-11-19","0"
"爸爸的3次婚礼","全国","2016-12-18","1"
"爸爸的3次婚礼","全国","2016-12-17","0"
"爸爸的3次婚礼","全国","2016-12-16","2"
"爸爸的3次婚礼","全国","2016-12-15","4"
"爸爸的3次婚礼","全国","2016-12-14","8"
"爸爸的3次婚礼","全国","2016-12-13","0"
"爸爸的3次婚礼","全国","2016-12-12","0"
"爸爸的3次婚礼","全国","2016-12-11","0"
"爸爸的3次婚礼","全国","2016-12-10","0"
"爸爸的3次婚礼","全国","2016-12-09","0"
"爸爸的3次婚礼","全国","2016-12-08","0"
"爸爸的3次婚礼","全国","2016-12-07","0"
"爸爸的3次婚礼","全国","2016-12-06","0"
"爸爸的3次婚礼","全国","2016-12-05","0"
"爸爸的3次婚礼","全国","2016-12-04","0"
"爸爸的3次婚礼","全国","2016-12-03","0"
"爸爸的3次婚礼","全国","2016-12-02","0"
"爸爸的3次婚礼","全国","2016-12-01","0"
"爸爸的3次婚礼","全国","2016-11-30","0"
"爸爸的3次婚礼","全国","2016-11-29","0"
"爸爸的3次婚礼","全国","2016-11-28","0"
"爸爸的3次婚礼","全国","2016-11-27","0"
"爸爸的3次婚礼","全国","2016-11-26","0"
"爸爸的3次婚礼","全国","2016-11-25","0"
"爸爸的3次婚礼","全国","2016-11-24","0"
"爸爸的3次婚礼","全国","2016-11-23","0"
"爸爸的3次婚礼","全国","2016-11-22","0"
"爸爸的3次婚礼","全国","2016-11-21","0"
"爸爸的3次婚礼","全国","2016-11-20","0"
"爸爸的3次婚礼","全国","2016-11-19","0"
"呆呆计划","全国","2016-12-18","0"
"呆呆计划","全国","2016-12-17","1"
"呆呆计划","全国","2016-12-16","2"
"呆呆计划","全国","2016-12-15","0"
"呆呆计划","全国","2016-12-14","1"
"呆呆计划","全国","2016-12-13","3"
"呆呆计划","全国","2016-12-12","8"
"呆呆计划","全国","2016-12-11","2"
"呆呆计划","全国","2016-12-10","3"
"呆呆计划","全国","2016-12-09","8"
"呆呆计划","全国","2016-12-08","12"
"呆呆计划","全国","2016-12-07","17"
"呆呆计划","全国","2016-12-06","8"
"呆呆计划","全国","2016-12-05","0"
"呆呆计划","全国","2016-12-04","0"
"呆呆计划","全国","2016-12-03","0"
"呆呆计划","全国","2016-12-02","0"
"呆呆计划","全国","2016-12-01","1"
"呆呆计划","全国","2016-11-30","0"
"呆呆计划","全国","2016-11-29","2"
"呆呆计划","全国","2016-11-28","0"
"呆呆计划","全国","2016-11-27","0"
"呆呆计划","全国","2016-11-26","0"
"呆呆计划","全国","2016-11-25","0"
"呆呆计划","全国","2016-11-24","0"
"呆呆计划","全国","2016-11-23","0"
"呆呆计划","全国","2016-11-22","0"
"呆呆计划","全国","2016-11-21","0"
"呆呆计划","全国","2016-11-20","0"
"呆呆计划","全国","2016-11-19","0"
"反黑行动组","全国","2016-12-18","0"
"反黑行动组","全国","2016-12-17","0"
"反黑行动组","全国","2016-12-16","0"
"反黑行动组","全国","2016-12-15","0"
"反黑行动组","全国","2016-12-14","2"
"反黑行动组","全国","2016-12-13","2"
"反黑行动组","全国","2016-12-12","9"
"反黑行动组","全国","2016-12-11","0"
"反黑行动组","全国","2016-12-10","1"
"反黑行动组","全国","2016-12-09","9"
"反黑行动组","全国","2016-12-08","4"
"反黑行动组","全国","2016-12-07","10"
"反黑行动组","全国","2016-12-06","2"
"反黑行动组","全国","2016-12-05","5"
"反黑行动组","全国","2016-12-04","1"
"反黑行动组","全国","2016-12-03","0"
"反黑行动组","全国","2016-12-02","0"
"反黑行动组","全国","2016-12-01","0"
"反黑行动组","全国","2016-11-30","0"
"反黑行动组","全国","2016-11-29","0"
"反黑行动组","全国","2016-11-28","0"
"反黑行动组","全国","2016-11-27","0"
"反黑行动组","全国","2016-11-26","0"
"反黑行动组","全国","2016-11-25","0"
"反黑行动组","全国","2016-11-24","0"
"反黑行动组","全国","2016-11-23","0"
"反黑行动组","全国","2016-11-22","0"
"反黑行动组","全国","2016-11-21","0"
"反黑行动组","全国","2016-11-20","0"
"反黑行动组","全国","2016-11-19","0"
"那年夏天你去了哪里","全国","2016-12-18","0"
"那年夏天你去了哪里","全国","2016-12-17","0"
"那年夏天你去了哪里","全国","2016-12-16","0"
"那年夏天你去了哪里","全国","2016-12-15","0"
"那年夏天你去了哪里","全国","2016-12-14","0"
"那年夏天你去了哪里","全国","2016-12-13","0"
"那年夏天你去了哪里","全国","2016-12-12","1"
"那年夏天你去了哪里","全国","2016-12-11","0"
"那年夏天你去了哪里","全国","2016-12-10","1"
"那年夏天你去了哪里","全国","2016-12-09","0"
"那年夏天你去了哪里","全国","2016-12-08","0"
"那年夏天你去了哪里","全国","2016-12-07","1"
"那年夏天你去了哪里","全国","2016-12-06","5"
"那年夏天你去了哪里","全国","2016-12-05","9"
"那年夏天你去了哪里","全国","2016-12-04","3"
"那年夏天你去了哪里","全国","2016-12-03","0"
"那年夏天你去了哪里","全国","2016-12-02","0"
"那年夏天你去了哪里","全国","2016-12-01","5"
"那年夏天你去了哪里","全国","2016-11-30","2"
"那年夏天你去了哪里","全国","2016-11-29","0"
"那年夏天你去了哪里","全国","2016-11-28","0"
"那年夏天你去了哪里","全国","2016-11-27","0"
"那年夏天你去了哪里","全国","2016-11-26","0"
"那年夏天你去了哪里","全国","2016-11-25","0"
"那年夏天你去了哪里","全国","2016-11-24","0"
"那年夏天你去了哪里","全国","2016-11-23","2"
"那年夏天你去了哪里","全国","2016-11-22","2"
"那年夏天你去了哪里","全国","2016-11-21","6"
"那年夏天你去了哪里","全国","2016-11-20","0"
"那年夏天你去了哪里","全国","2016-11-19","1"
"少年巴比伦","全国","2016-12-18","0"
"少年巴比伦","全国","2016-12-17","0"
"少年巴比伦","全国","2016-12-16","0"
"少年巴比伦","全国","2016-12-15","0"
"少年巴比伦","全国","2016-12-14","0"
"少年巴比伦","全国","2016-12-13","0"
"少年巴比伦","全国","2016-12-12","2"
"少年巴比伦","全国","2016-12-11","2"
"少年巴比伦","全国","2016-12-10","0"
"少年巴比伦","全国","2016-12-09","4"
"少年巴比伦","全国","2016-12-08","0"
"少年巴比伦","全国","2016-12-07","0"
"少年巴比伦","全国","2016-12-06","0"
"少年巴比伦","全国","2016-12-05","0"
"少年巴比伦","全国","2016-12-04","0"
"少年巴比伦","全国","2016-12-03","0"
"少年巴比伦","全国","2016-12-02","0"
"少年巴比伦","全国","2016-12-01","0"
"少年巴比伦","全国","2016-11-30","0"
"少年巴比伦","全国","2016-11-29","0"
"少年巴比伦","全国","2016-11-28","0"
"少年巴比伦","全国","2016-11-27","0"
"少年巴比伦","全国","2016-11-26","0"
"少年巴比伦","全国","2016-11-25","0"
"少年巴比伦","全国","2016-11-24","1"
"少年巴比伦","全国","2016-11-23","0"
"少年巴比伦","全国","2016-11-22","0"
"少年巴比伦","全国","2016-11-21","0"
"少年巴比伦","全国","2016-11-20","0"
"少年巴比伦","全国","2016-11-19","0"
"塔洛","全国","2016-12-18","1"
"塔洛","全国","2016-12-17","0"
"塔洛","全国","2016-12-16","2"
"塔洛","全国","2016-12-15","2"
"塔洛","全国","2016-12-14","5"
"塔洛","全国","2016-12-13","4"
"塔洛","全国","2016-12-12","5"
"塔洛","全国","2016-12-11","4"
"塔洛","全国","2016-12-10","6"
"塔洛","全国","2016-12-09","8"
"塔洛","全国","2016-12-08","6"
"塔洛","全国","2016-12-07","10"
"塔洛","全国","2016-12-06","13"
"塔洛","全国","2016-12-05","0"
"塔洛","全国","2016-12-04","0"
"塔洛","全国","2016-12-03","0"
"塔洛","全国","2016-12-02","0"
"塔洛","全国","2016-12-01","0"
"塔洛","全国","2016-11-30","0"
"塔洛","全国","2016-11-29","0"
"塔洛","全国","2016-11-28","0"
"塔洛","全国","2016-11-27","0"
"塔洛","全国","2016-11-26","0"
"塔洛","全国","2016-11-25","0"
"塔洛","全国","2016-11-24","0"
"塔洛","全国","2016-11-23","0"
"塔洛","全国","2016-11-22","0"
"塔洛","全国","2016-11-21","0"
"塔洛","全国","2016-11-20","0"
"塔洛","全国","2016-11-19","0"
"28岁未成年","全国","2016-12-18","4"
"28岁未成年","全国","2016-12-17","1"
"28岁未成年","全国","2016-12-16","8"
"28岁未成年","全国","2016-12-15","5"
"28岁未成年","全国","2016-12-14","18"
"28岁未成年","全国","2016-12-13","12"
"28岁未成年","全国","2016-12-12","98"
"28岁未成年","全国","2016-12-11","7"
"28岁未成年","全国","2016-12-10","15"
"28岁未成年","全国","2016-12-09","173"
"28岁未成年","全国","2016-12-08","13"
"28岁未成年","全国","2016-12-07","14"
"28岁未成年","全国","2016-12-06","15"
"28岁未成年","全国","2016-12-05","16"
"28岁未成年","全国","2016-12-04","15"
"28岁未成年","全国","2016-12-03","8"
"28岁未成年","全国","2016-12-02","66"
"28岁未成年","全国","2016-12-01","3"
"28岁未成年","全国","2016-11-30","185"
"28岁未成年","全国","2016-11-29","261"
"28岁未成年","全国","2016-11-28","71"
"28岁未成年","全国","2016-11-27","7"
"28岁未成年","全国","2016-11-26","11"
"28岁未成年","全国","2016-11-25","19"
"28岁未成年","全国","2016-11-24","119"
"28岁未成年","全国","2016-11-23","18"
"28岁未成年","全国","2016-11-22","13"
"28岁未成年","全国","2016-11-21","5"
"28岁未成年","全国","2016-11-20","2"
"28岁未成年","全国","2016-11-19","3"
"萨利机长","全国","2016-12-18","0"
"萨利机长","全国","2016-12-17","2"
"萨利机长","全国","2016-12-16","6"
"萨利机长","全国","2016-12-15","11"
"萨利机长","全国","2016-12-14","6"
"萨利机长","全国","2016-12-13","14"
"萨利机长","全国","2016-12-12","20"
"萨利机长","全国","2016-12-11","12"
"萨利机长","全国","2016-12-10","17"
"萨利机长","全国","2016-12-09","89"
"萨利机长","全国","2016-12-08","19"
"萨利机长","全国","2016-12-07","14"
"萨利机长","全国","2016-12-06","14"
"萨利机长","全国","2016-12-05","5"
"萨利机长","全国","2016-12-04","1"
"萨利机长","全国","2016-12-03","7"
"萨利机长","全国","2016-12-02","7"
"萨利机长","全国","2016-12-01","4"
"萨利机长","全国","2016-11-30","8"
"萨利机长","全国","2016-11-29","8"
"萨利机长","全国","2016-11-28","0"
"萨利机长","全国","2016-11-27","0"
"萨利机长","全国","2016-11-26","2"
"萨利机长","全国","2016-11-25","5"
"萨利机长","全国","2016-11-24","6"
"萨利机长","全国","2016-11-23","5"
"萨利机长","全国","2016-11-22","4"
"萨利机长","全国","2016-11-21","6"
"萨利机长","全国","2016-11-20","1"
"萨利机长","全国","2016-11-19","1"
"血战钢锯岭","全国","2016-12-18","8"
"血战钢锯岭","全国","2016-12-17","10"
"血战钢锯岭","全国","2016-12-16","16"
"血战钢锯岭","全国","2016-12-15","13"
"血战钢锯岭","全国","2016-12-14","113"
"血战钢锯岭","全国","2016-12-13","229"
"血战钢锯岭","全国","2016-12-12","124"
"血战钢锯岭","全国","2016-12-11","12"
"血战钢锯岭","全国","2016-12-10","18"
"血战钢锯岭","全国","2016-12-09","154"
"血战钢锯岭","全国","2016-12-08","100"
"血战钢锯岭","全国","2016-12-07","131"
"血战钢锯岭","全国","2016-12-06","20"
"血战钢锯岭","全国","2016-12-05","138"
"血战钢锯岭","全国","2016-12-04","5"
"血战钢锯岭","全国","2016-12-03","10"
"血战钢锯岭","全国","2016-12-02","102"
"血战钢锯岭","全国","2016-12-01","10"
"血战钢锯岭","全国","2016-11-30","115"
"血战钢锯岭","全国","2016-11-29","13"
"血战钢锯岭","全国","2016-11-28","6"
"血战钢锯岭","全国","2016-11-27","1"
"血战钢锯岭","全国","2016-11-26","2"
"血战钢锯岭","全国","2016-11-25","4"
"血战钢锯岭","全国","2016-11-24","7"
"血战钢锯岭","全国","2016-11-23","0"
"血战钢锯岭","全国","2016-11-22","4"
"血战钢锯岭","全国","2016-11-21","5"
"血战钢锯岭","全国","2016-11-20","0"
"血战钢锯岭","全国","2016-11-19","0"
"东宫皇子","全国","2016-12-18","0"
"东宫皇子","全国","2016-12-17","0"
"东宫皇子","全国","2016-12-16","0"
"东宫皇子","全国","2016-12-15","0"
"东宫皇子","全国","2016-12-14","0"
"东宫皇子","全国","2016-12-13","0"
"东宫皇子","全国","2016-12-12","0"
"东宫皇子","全国","2016-12-11","0"
"东宫皇子","全国","2016-12-10","0"
"东宫皇子","全国","2016-12-09","0"
"东宫皇子","全国","2016-12-08","0"
"东宫皇子","全国","2016-12-07","0"
"东宫皇子","全国","2016-12-06","0"
"东宫皇子","全国","2016-12-05","0"
"东宫皇子","全国","2016-12-04","0"
"东宫皇子","全国","2016-12-03","0"
"东宫皇子","全国","2016-12-02","0"
"东宫皇子","全国","2016-12-01","0"
"东宫皇子","全国","2016-11-30","0"
"东宫皇子","全国","2016-11-29","0"
"东宫皇子","全国","2016-11-28","0"
"东宫皇子","全国","2016-11-27","0"
"东宫皇子","全国","2016-11-26","0"
"东宫皇子","全国","2016-11-25","0"
"东宫皇子","全国","2016-11-24","0"
"东宫皇子","全国","2016-11-23","0"
"东宫皇子","全国","2016-11-22","0"
"东宫皇子","全国","2016-11-21","0"
"东宫皇子","全国","2016-11-20","0"
"东宫皇子","全国","2016-11-19","0"
"老腔","全国","2016-12-18","0"
"老腔","全国","2016-12-17","0"
"老腔","全国","2016-12-16","6"
"老腔","全国","2016-12-15","2"
"老腔","全国","2016-12-14","2"
"老腔","全国","2016-12-13","2"
"老腔","全国","2016-12-12","2"
"老腔","全国","2016-12-11","2"
"老腔","全国","2016-12-10","4"
"老腔","全国","2016-12-09","6"
"老腔","全国","2016-12-08","3"
"老腔","全国","2016-12-07","6"
"老腔","全国","2016-12-06","7"
"老腔","全国","2016-12-05","3"
"老腔","全国","2016-12-04","5"
"老腔","全国","2016-12-03","3"
"老腔","全国","2016-12-02","9"
"老腔","全国","2016-12-01","0"
"老腔","全国","2016-11-30","0"
"老腔","全国","2016-11-29","0"
"老腔","全国","2016-11-28","0"
"老腔","全国","2016-11-27","0"
"老腔","全国","2016-11-26","0"
"老腔","全国","2016-11-25","0"
"老腔","全国","2016-11-24","0"
"老腔","全国","2016-11-23","0"
"老腔","全国","2016-11-22","0"
"老腔","全国","2016-11-21","0"
"老腔","全国","2016-11-20","0"
"老腔","全国","2016-11-19","0"
"沙漠之心","全国","2016-12-18","0"
"沙漠之心","全国","2016-12-17","0"
"沙漠之心","全国","2016-12-16","0"
"沙漠之心","全国","2016-12-15","0"
"沙漠之心","全国","2016-12-14","0"
"沙漠之心","全国","2016-12-13","0"
"沙漠之心","全国","2016-12-12","0"
"沙漠之心","全国","2016-12-11","0"
"沙漠之心","全国","2016-12-10","0"
"沙漠之心","全国","2016-12-09","0"
"沙漠之心","全国","2016-12-08","2"
"沙漠之心","全国","2016-12-07","2"
"沙漠之心","全国","2016-12-06","1"
"沙漠之心","全国","2016-12-05","7"
"沙漠之心","全国","2016-12-04","1"
"沙漠之心","全国","2016-12-03","1"
"沙漠之心","全国","2016-12-02","4"
"沙漠之心","全国","2016-12-01","2"
"沙漠之心","全国","2016-11-30","6"
"沙漠之心","全国","2016-11-29","2"
"沙漠之心","全国","2016-11-28","3"
"沙漠之心","全国","2016-11-27","0"
"沙漠之心","全国","2016-11-26","0"
"沙漠之心","全国","2016-11-25","0"
"沙漠之心","全国","2016-11-24","0"
"沙漠之心","全国","2016-11-23","0"
"沙漠之心","全国","2016-11-22","0"
"沙漠之心","全国","2016-11-21","0"
"沙漠之心","全国","2016-11-20","0"
"沙漠之心","全国","2016-11-19","0"
"超级快递","全国","2016-12-18","2"
"超级快递","全国","2016-12-17","0"
"超级快递","全国","2016-12-16","1"
"超级快递","全国","2016-12-15","0"
"超级快递","全国","2016-12-14","0"
"超级快递","全国","2016-12-13","2"
"超级快递","全国","2016-12-12","1"
"超级快递","全国","2016-12-11","0"
"超级快递","全国","2016-12-10","2"
"超级快递","全国","2016-12-09","4"
"超级快递","全国","2016-12-08","6"
"超级快递","全国","2016-12-07","14"
"超级快递","全国","2016-12-06","5"
"超级快递","全国","2016-12-05","17"
"超级快递","全国","2016-12-04","9"
"超级快递","全国","2016-12-03","15"
"超级快递","全国","2016-12-02","128"
"超级快递","全国","2016-12-01","69"
"超级快递","全国","2016-11-30","152"
"超级快递","全国","2016-11-29","142"
"超级快递","全国","2016-11-28","8"
"超级快递","全国","2016-11-27","4"
"超级快递","全国","2016-11-26","0"
"超级快递","全国","2016-11-25","17"
"超级快递","全国","2016-11-24","8"
"超级快递","全国","2016-11-23","7"
"超级快递","全国","2016-11-22","4"
"超级快递","全国","2016-11-21","4"
"超级快递","全国","2016-11-20","3"
"超级快递","全国","2016-11-19","4"
"极速之巅","全国","2016-12-18","0"
"极速之巅","全国","2016-12-17","0"
"极速之巅","全国","2016-12-16","0"
"极速之巅","全国","2016-12-15","1"
"极速之巅","全国","2016-12-14","0"
"极速之巅","全国","2016-12-13","0"
"极速之巅","全国","2016-12-12","0"
"极速之巅","全国","2016-12-11","0"
"极速之巅","全国","2016-12-10","0"
"极速之巅","全国","2016-12-09","0"
"极速之巅","全国","2016-12-08","0"
"极速之巅","全国","2016-12-07","1"
"极速之巅","全国","2016-12-06","1"
"极速之巅","全国","2016-12-05","4"
"极速之巅","全国","2016-12-04","1"
"极速之巅","全国","2016-12-03","1"
"极速之巅","全国","2016-12-02","7"
"极速之巅","全国","2016-12-01","1"
"极速之巅","全国","2016-11-30","1"
"极速之巅","全国","2016-11-29","6"
"极速之巅","全国","2016-11-28","2"
"极速之巅","全国","2016-11-27","2"
"极速之巅","全国","2016-11-26","0"
"极速之巅","全国","2016-11-25","4"
"极速之巅","全国","2016-11-24","0"
"极速之巅","全国","2016-11-23","0"
"极速之巅","全国","2016-11-22","0"
"极速之巅","全国","2016-11-21","0"
"极速之巅","全国","2016-11-20","0"
"极速之巅","全国","2016-11-19","0"
"三少爷的剑","全国","2016-12-18","0"
"三少爷的剑","全国","2016-12-17","0"
"三少爷的剑","全国","2016-12-16","1"
"三少爷的剑","全国","2016-12-15","0"
"三少爷的剑","全国","2016-12-14","2"
"三少爷的剑","全国","2016-12-13","9"
"三少爷的剑","全国","2016-12-12","7"
"三少爷的剑","全国","2016-12-11","1"
"三少爷的剑","全国","2016-12-10","4"
"三少爷的剑","全国","2016-12-09","9"
"三少爷的剑","全国","2016-12-08","5"
"三少爷的剑","全国","2016-12-07","16"
"三少爷的剑","全国","2016-12-06","58"
"三少爷的剑","全国","2016-12-05","153"
"三少爷的剑","全国","2016-12-04","13"
"三少爷的剑","全国","2016-12-03","48"
"三少爷的剑","全国","2016-12-02","216"
"三少爷的剑","全国","2016-12-01","103"
"三少爷的剑","全国","2016-11-30","13"
"三少爷的剑","全国","2016-11-29","14"
"三少爷的剑","全国","2016-11-28","3"
"三少爷的剑","全国","2016-11-27","1"
"三少爷的剑","全国","2016-11-26","2"
"三少爷的剑","全国","2016-11-25","6"
"三少爷的剑","全国","2016-11-24","10"
"三少爷的剑","全国","2016-11-23","7"
"三少爷的剑","全国","2016-11-22","3"
"三少爷的剑","全国","2016-11-21","2"
"三少爷的剑","全国","2016-11-20","1"
