海洋奇缘,3958,4228,5252,7064,6359,10083,10077,10936,13444,20782,21016,18582,15482,12151,5316,6252,4609,5011,4627,1723,3073,1070,4459,6627,703,415,548,760,4712,666
神奇动物在哪里,31140,41040,50344,55348,55150,65593,78594,94366,146779,176124,183956,102574,39967,22937,22598,11238,21226,47813,32313,16968,10117,7227,5471,14468,5262,4074,4905,16055,7409,1237
少年梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白云桥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武林探秘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辣警霸王花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我是处女座,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿拉丁与神灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红颜容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深海浩劫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最后证言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非常绑架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脱单宝典,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兄弟之北漂歌手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聊斋新编之画皮新娘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔离岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外公芳龄38,274,298,238,207,255,340,264,382,349,375,695,785,1451,1279,1384,2181,2660,2909,2946,5309,4732,9683,13521,16542,37458,55004,49781,6539,12947,14131
比利·林恩的中场战事,1284,158,207,246,463,474,364,388,367,535,556,699,1065,1106,1376,2145,3943,3792,3671,4381,4192,16144,9650,14842,18757,13315,10383,31330,11184,8092
航海王之黄金城,253,527,382,269,465,739,735,476,886,2225,1330,1257,1629,2283,2959,3174,5326,5732,14005,6765,5317,5286,7394,10635,14707,21089,10029,13818,5701,2775
比利林恩的中场战事,1284,158,207,246,463,474,364,388,367,535,556,699,1065,1106,1376,2145,3943,3792,3671,4381,4192,16144,9650,14842,18757,13315,10383,31330,11184,8092
航海王,253,527,382,269,465,739,735,476,886,2225,1330,1257,1629,2283,2959,3174,5326,5732,14005,6765,5317,5286,7394,10635,14707,21089,10029,13818,5701,2775
贫穷富爸爸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生死96小时,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减法人生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邻家大贱谍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被劫持的爱情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛先生的花儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一句顶一万句,188,293,611,783,134,176,196,284,596,241,319,254,268,340,490,539,740,470,708,596,1693,560,659,706,1289,975,1353,5350,19074,5393
奇异博士,1687,1284,1672,2935,2659,3180,3144,3824,5454,3682,3377,7114,13401,9359,10849,12309,20440,24950,16825,17428,24192,26445,16308,24034,27959,22951,20403,34167,40556,56078
脑残粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐怖笔记,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
何去何从,1659,2053,1621,7354,1548,5136,2372,2813,2209,1970,4940,2559,2374,2677,1787,1747,2018,2018,2048,2421,2589,2498,12834,2245,2711,4665,1806,3224,2148,2055
导火新闻线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔发精灵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杠上开花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
异性合租的往事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙珠Z：复活的弗利萨,39,29,33,28,17,21,22,22,30,46,34,71,82,26,37,44,61,22,70,60,75,41,44,52,55,67,56,124,27,66
复活的弗利萨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙珠Z,39,29,33,28,17,21,22,22,30,46,34,71,82,26,37,44,61,22,70,60,75,41,44,52,55,67,56,124,27,66
爱的钟声,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铠甲勇士,62,26,32,41,54,35,38,90,20,77,212,38,40,37,46,71,109,103,84,83,101,48,36,35,76,30,39,94,134,40
鲁滨逊漂流记,23,13,11,16,13,12,14,34,16,31,36,30,39,28,14,22,24,17,10,37,18,21,27,23,21,29,50,99,33,27
爱情不等式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宾虚,17,24,22,43,60,66,73,52,121,58,11,12,11,11,16,22,6,8,3,7,7,13,11,9,8,10,8,9,8,5
圆梦巨人,167,62,99,252,91,84,187,134,265,294,146,190,211,223,146,180,163,102,104,199,281,485,326,358,429,126,106,143,433,219
勇士,23902,17465,17157,11959,28710,6987,9520,11870,6498,10529,12689,11269,17418,16331,17224,21554,17933,18944,25968,30222,20296,27418,12712,11698,13161,12737,9106,32719,24959,14155
驴得水,670,902,2175,742,601,801,1024,2911,1549,1405,19288,3440,2362,2655,4215,2200,4791,2977,4798,4183,4360,7209,3596,6069,6923,11320,6138,7379,9520,13036
机械师2,178,285,365,646,849,976,385,163,332,1511,188,197,474,658,450,561,349,287,368,414,697,258,357,404,358,539,422,733,959,865
侠探杰克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶手还未睡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但丁密码,286,107,351,411,496,424,482,145,56,88,131,110,105,84,121,338,131,181,354,475,160,200,285,252,334,806,1453,1863,1050,1800
枕边有张脸2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捉迷藏,2225,2491,1450,1740,2728,2039,2057,2507,3017,2646,2363,3031,1807,2138,1906,2980,3786,3397,3677,4845,4409,10629,10144,7204,8054,7342,9020,7753,30637,20285
非常父子档,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爵迹,20571,13348,25896,27749,13481,30381,23443,12565,18201,22389,14754,9247,16043,17666,19012,21539,32643,33356,19917,20671,40055,35109,33883,39686,40341,31865,32753,19563,17010,42221
我不是潘金莲,3697,3260,3674,5252,12301,5667,6121,8475,13960,30026,29547,24988,29553,24688,29091,45212,65007,118275,143404,57847,70104,77944,18385,13822,7492,1890,5554,11839,11131,6160
从你的全世界路过,16159,13941,8510,9365,12618,12016,8156,9702,12181,11025,10184,8701,11563,8554,8306,27972,19101,10714,12100,20439,19630,19591,10775,17359,19603,12114,16322,18002,15859,25271
湄公河行动,620,900,876,1789,1047,647,553,3675,1057,2341,3546,919,1337,1194,2807,2830,1188,1577,2196,1502,1355,1125,1650,1085,1300,1536,1656,1771,3883,4823
东北往事之破马张飞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食人岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看见我和你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234说爱你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
囧游凤凰谷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地球四季,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王牌逗王牌,56,83,75,93,54,66,63,76,135,139,144,157,102,93,78,140,218,104,248,241,241,141,140,178,168,500,274,409,440,553
我是哪吒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萤火奇兵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
终结者2,13,27,23,37,95,24,45,14,20,40,15,11,9,15,13,31,9,9,18,19,24,40,57,61,115,29,20,14,25,29
新东方神娃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清枫传奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幽灵医院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暗杀游戏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
热血雷锋侠之激情营救,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有迹可循,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
育婴室,51,16,12,22,23,15,17,9,35,12,12,17,51,22,98,19,41,42,365,237,838,407,445,86,60,29,38,60,176,111
笑林足球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
谁的青春不热血之深流不息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三个孬家伙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新木偶奇遇记,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
那年我对你的承诺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诡眼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇妙的朋友之萌爱2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇士之门,1858,2022,1861,1852,1149,49,177,101,702,579,336,368,1196,5503,3539,11260,5380,7576,13006,13873,13224,17201,824,608,1289,2084,381,15771,2783,1311
夜闯寡妇村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夺路而逃,39,64,54,59,69,50,86,57,87,120,169,177,213,69,115,238,245,3611,8135,450,467,337,9879,18270,23650,12470,19374,26130,14951,24563
你的名字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
